,username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink,Unnamed: 11,len,SA
0,Raj Patel,Rajio,2008-05-15 11:49:00,0,0,Lunch&Learn today by Carmanah Technologies (solar power dudes) ... I hope lunch includes sun-dried tomatoes for added synergy,,,,812034535,https://twitter.com/Rajio/status/812034535,,125,-1
1,Jon-Paul Bussoli,jbussoli,2008-10-10 14:31:00,0,0,@ rogerkondrat I work for Carmanah Technologies. www.carmanah.com,,@,,954544141,https://twitter.com/jbussoli/status/954544141,,65,0
2,Denis Du Bois,cleantech,2009-01-12 14:50:00,0,0,Carmanah missed the bus with solar transit shelter lighting. Who picked up where they left off? Answer on Wednesday...,,,,1113850709,https://twitter.com/cleantech/status/1113850709,,118,0
3,Ryan Speed,unclespeedo,2009-01-18 14:47:00,0,0,Carmanah Technologies is looking for a Marketing Specialist - http://tinyurl.com/928b37,,,,1128724286,https://twitter.com/unclespeedo/status/1128724286,,87,0
4,AENews,AENews,2009-02-12 13:22:00,0,0,"Carmanah Partners With Shine Micro to Combine Solar-Powered Marine Lanterns With AIS Technology: VICTORIA, BC--(.. http://tinyurl.com/d7tf3h",,,,1203540007,https://twitter.com/AENews/status/1203540007,,140,0
5,AENews,AENews,2009-02-12 13:22:00,0,0,"Carmanah Partners With Shine Micro to Combine Solar-Powered Marine Lanterns With AIS Technology: VICTORIA, BC--(.. http://tinyurl.com/d7tf3h",,,,1203540007,https://twitter.com/AENews/status/1203540007,,140,0
6,Ryan Speed,unclespeedo,2009-02-19 14:03:00,0,0,Carmanah Technologies is hiring a Manager," Information Systems"" anyone wanna move to Victoria? - http://bit.ly/5OVqQ""",,,,1227706419,,41,0
7,Solar,australiansolar,2009-03-04 02:47:00,0,0,"Carmanah Introduces Compact Solar-Charging Kit for RVs and Boats: VICTORIA, BC - Carmanah Technologies (TSX: CMH.. http://tinyurl.com/aowfe3",,,,1277702945,https://twitter.com/australiansolar/status/1277702945,,140,0
8,Everything Finance,AllFinance,2009-03-04 20:37:00,0,0,Carmanah Introduces Solar LED Lighting for Streets and Parking Lots http://ff.im/-1lrrj,,,,1281355917,https://twitter.com/AllFinance/status/1281355917,,87,0
9,LEDinside,LEDinside,2009-03-05 03:04:00,0,0,[LEDinside] Carmanah’s Solar LED Lighting is Designed for Streets and Parking Lots: Topic: .. http://tinyurl.com/cclrh9,,,,1282514177,https://twitter.com/LEDinside/status/1282514177,,119,0
10,Green News,GreenNewsDaily,2009-03-05 09:12:00,0,0,GREEN PRODUCTS: Carmanah Introduces Solar LED Lighting for Streets and Parking Lots - http://www.msnbc.msn.com/id/29515666/,,,,1283394035,https://twitter.com/GreenNewsDaily/status/1283394035,,123,-1
11,John Pettit,silverbelly,2009-03-09 20:50:00,0,0,looking for anyone with information about Carmanah Technologies in Victoria...thinking of applying for a job there. http://www.carmanah.com/,,,,1303225198,https://twitter.com/silverbelly/status/1303225198,,140,0
12,Environmentalist,cleaner_energy,2009-03-11 11:00:00,0,0,"Carmanah Announces Record Operating Performance Prior to Write ... MSNBC With solar technology more attractive... re: http://ff.im/1s63f""",,,,1310910498,https://twitter.com/cleaner_energy/status/1310910498,,137,1
13,matt,mattgoesgreen,2009-03-13 12:41:00,0,0,New blog post: Toronto Parking Authority to Install Solar Powered Grid-Tie System From Carmanah Technologies (T-Net British Columbia) ht ...,,,,1322572756,https://twitter.com/mattgoesgreen/status/1322572756,,140,1
14,solartweets,solartweets,2009-03-17 01:46:00,0,0,RT Toronto Parking Authority Goes Green with Carmanah Technologies Grid-Tie Solar Power System www.carmanah.com http://tinyurl.com/dd35jl,,,,1340774345,https://twitter.com/solartweets/status/1340774345,,137,-1
15,David Davies,DavidJCDavies,2009-03-17 18:57:00,0,0,Carmanah Technologies posts $1.3-million 2008 profit http://tinyurl.com/cptv72,,,,1345174696,https://twitter.com/DavidJCDavies/status/1345174696,,78,0
16,MPLOYR,mployrbc,2009-03-18 02:48:00,0,0,[full-time] Solar Power Systems Engineer at Carmanah Technologies Corporation: Location: VictoriaURL: http://car.. http://tinyurl.com/dehtxh,,,,1347091743,https://twitter.com/mployrbc/status/1347091743,,140,1
17,David Davies,DavidJCDavies,2009-04-22 20:46:00,0,0,Globe and Mail Profile Carmanah Technologies http://bit.ly/mpeAw,,,,1589889552,https://twitter.com/DavidJCDavies/status/1589889552,,64,0
18,Earth Times Blogs,Earth_Times,2009-05-06 13:11:00,0,0,Trinidad International Airport Upgrades Runways with Carmanah Solar-LED Airfield Lights http://tinyurl.com/d98mvc,,,,1718435092,https://twitter.com/Earth_Times/status/1718435092,,113,0
19,AeroWeb-fr.net,aerowebfrnet,2009-05-06 14:31:00,0,0,Dépèches: Trinidad International Airport Upgrades Runways with Carmanah Solar-LED Airfield Lights: Tr.. http://tr.im/kFoP,,,,1719162730,https://twitter.com/aerowebfrnet/status/1719162730,,121,0
20,izatrini.com,izatrini,2009-05-06 14:42:00,0,1,Trinidad International Airport Upgrades Runways with Carmanah ... - Earthtimes (press release) http://tinyurl.com/cfznrw,,,,1719264355,https://twitter.com/izatrini/status/1719264355,,120,0
21,Sammy Lebaine,sammygreenman,2009-05-15 05:46:00,0,0,Carmanah Solar Technologies: Oil & Gas Applications · GridTie Solar Power Systems ... ERGL Solar Elevated Run.. http://www.carmanah.com/,,,,1804588388,https://twitter.com/sammygreenman/status/1804588388,,136,0
22,Earth Times Blogs,Earth_Times,2009-05-22 13:25:00,0,0,Rob Cruickshank appointed Carmanah Technologies&rsquo; Chairman of the Board http://tinyurl.com/r3qgxg,,,,1884614178,https://twitter.com/Earth_Times/status/1884614178,,102,0
23,What I Found Today,WhatIFoundToday,2009-05-22 15:07:00,0,1,Carmanah Technologies Names Rob Cruickshank New Chairman - TechFinance http://kl.am/lOi,,,,1885644508,https://twitter.com/WhatIFoundToday/status/1885644508,,87,1
24,Earth Times Blogs,Earth_Times,2009-06-02 12:05:00,0,0,US Coast Guard Stocks Up on Carmanah Solar-LED Marine Lanterns for Hurricane Season http://tinyurl.com/ml23az,,,,2005021185,https://twitter.com/Earth_Times/status/2005021185,,109,0
25,David Davies,DavidJCDavies,2009-06-02 15:37:00,0,0,US Coast Guard Stocks Up on Carmanah Solar-LED Marine Lanterns for Hurricane Season http://bit.ly/UlK0C,,,,2007428062,https://twitter.com/DavidJCDavies/status/2007428062,,103,0
26,Cantech Letter,CantechLetter,2009-06-18 13:46:00,0,0,Carmanah (TSX:CMH) wins $400k airport contract http://bit.ly/7cSjf $$,,,,2225477953,https://twitter.com/CantechLetter/status/2225477953,,69,1
27,Jonathan Lee,BoatingBusiness,2009-06-23 09:46:00,0,0,"Victoria, BC-based Carmanah Technologies is reported to have sold a large order of solar lanterns to the US Coast Guard.",,,,2294591732,https://twitter.com/BoatingBusiness/status/2294591732,,120,1
28,Gene J. Mikulka,genejm29,2009-07-17 14:36:00,0,0,RT @ tenergyblg: # NASA’s Stennis Space Center Equips Green Facility with Solar-LED Lighting from Carmanah Technologies http://bit.ly/1bk4Gg,,@,#,2693010582,https://twitter.com/genejm29/status/2693010582,,140,-1
29,Donna Smith,recyclablepower,2009-08-10 21:02:00,0,0,Solar LEDs power up Carmanah sales: The move into street lighting opens a $1-billion global market for the Victo.. http://bit.ly/T5iGa,,,,3236243916,https://twitter.com/recyclablepower/status/3236243916,,134,0
30,Andrew Zolli,andrew_zolli,2009-09-04 15:28:00,0,0,Cool: # poptech friends # frogdesign partners with Carmanah to launch solar LED lighting: http://is.gd/2T76L and http://is.gd/2T7cW,,,# #,3763478149,https://twitter.com/andrew_zolli/status/3763478149,,131,1
31,Gary Woodbury,OurBC,2009-09-10 12:05:00,0,0,"Getting ready for a motorcycle ride into the Carmanah/Walbran Park tomorrow via Port Renfrew in, Youbou out.",,,,3890098816,https://twitter.com/OurBC/status/3890098816,,108,1
32,LEDinside,LEDinside,2009-10-14 22:24:00,0,0,Nuclear Power Plant Goes Solar with Carmanah Off-Grid LED Outdoor Lighting: Industry Application One of C.. http://bit.ly/2kvRlX,,,,4878713469,https://twitter.com/LEDinside/status/4878713469,,128,0
33,Abu Dhabi | أبوظبي,AbuDhabiLife,2009-10-24 21:05:00,0,0,StrategiesGreen » Abu Dhabi Grand Prix Goes Solar with Carmanah lights: Normally used on airport runways or oce.. http://bit.ly/4w17bt,,,,5136067909,https://twitter.com/AbuDhabiLife/status/5136067909,,134,1
34,World Solar News,worldsolarnews,2009-11-05 14:25:00,0,0,Carmanah Technologies Lights up Florida Roadways with Solar Street Lights - Reuters: Carmanah Technologies Ligh.. http://bit.ly/350JWv,,,,5457495809,https://twitter.com/worldsolarnews/status/5457495809,,134,0
35,The Tech Gang,TheTechGang,2009-11-12 05:11:00,0,0,TheBINetwork: Bea: # BI Clean Energy Company Carmanah Technologies Goes Live on Oracle in 16 ... - Earthtimes: Carmana.. http://url4.eu/juTx,,,#,5645725978,https://twitter.com/TheTechGang/status/5645725978,,140,1
36,Solar Energy News,SolarEnergyNews,2009-12-01 14:38:00,0,0,ADB Airfield Solutions and Carmanah to Provide Solar LED Airfield Lighting Technology http://short.to/yvs4,,,,6244552909,https://twitter.com/SolarEnergyNews/status/6244552909,,106,0
37,Viking Services,denversolarguy,2009-12-09 19:31:00,0,0,Carmanah Technologies Lights up Florida Roadways with Solar Street Lighting: Lockheed Martin is upgrading its Lake ... http://bit.ly/6oaR9V,,,,6514323227,https://twitter.com/denversolarguy/status/6514323227,,139,0
38,myBeautifulBC,myBeautifulBC,2009-12-11 14:57:00,2,0,Burnaby School District Installs Local Carmanah Solar Technology http://www.carmanah.com/Company/Press_Room/Show_News_Release.aspx?ID=292,,,,6576961172,https://twitter.com/myBeautifulBC/status/6576961172,,137,0
39,AMEinfo,AMEInfonews,2009-12-12 01:58:00,0,0,Latest news - PTL Solar and Carmanah Technologies establish Middle East manufacturing partnership for facility in E... http://bit.ly/5h20YW,,,,6593341586,https://twitter.com/AMEInfonews/status/6593341586,,139,1
40,Electrical Business,EBMag,2009-12-16 23:32:00,0,0,Carmanah Technologies unveiled its newest design in solar LED lighting: the EverGEN 1710 solar-powered area light - http://bit.ly/4J2cit,,,,6754366605,https://twitter.com/EBMag/status/6754366605,,136,1
41,WB FINANCIAL LLC,equipment_lease,2009-12-27 18:29:00,0,0,PTL Solar and Carmanah partner to manufacture solar LED lighting solutions: PTL Solar and Carmanah Technologies are... http://bit.ly/4tfKUe,,,,7103800006,https://twitter.com/equipment_lease/status/7103800006,,139,0
42,Tomas K,igytomas,2010-01-12 14:41:00,0,0,"EcoMag Carmanah Technologies Illuminates Central Spokane, WA Parking Lot with Solar Lighting: Carmanah Te.. http://bit.ly/62D09s",,,,7680016904,https://twitter.com/igytomas/status/7680016904,,128,0
43,Solar Energy News,SolarEnergyNews,2010-01-12 15:29:00,1,1,"Carmanah Technologies Illuminates Central Spokane, WA Parking Lot with Solar Lighting http://bit.ly/5t0Flg",,,,7681470196,https://twitter.com/SolarEnergyNews/status/7681470196,,106,0
44,Solar Energy News,SolarEnergyNews,2010-01-12 15:29:00,1,1,"Carmanah Technologies Illuminates Central Spokane, WA Parking Lot with Solar Lighting http://bit.ly/5t0Flg",,,,7681470196,https://twitter.com/SolarEnergyNews/status/7681470196,,106,0
45,Carmanah Tech. Corp.,CarmanahTech,2010-01-14 12:33:00,1,0,See pictures of Carmanah EverGEN solar LED area lighting at INB Performing Arts Center in Spokane: http://tinyurl.com/yaprqtw,,,,7755080883,https://twitter.com/CarmanahTech/status/7755080883,,125,-1
46,Carmanah Tech. Corp.,CarmanahTech,2010-01-14 12:36:00,0,0,Carmanah solar outdoor lighting solutions are boldly turning yesterday’s imagination into today's reality:http://tinyurl.com/yazkrdt,,,,7755181382,https://twitter.com/CarmanahTech/status/7755181382,,132,1
47,Carmanah Tech. Corp.,CarmanahTech,2010-01-20 19:23:00,1,0,Dr. David Suzuki Public School Powers Up with Carmanah Solar Technology http://tinyurl.com/yb4qm9l,,,,8006379251,https://twitter.com/CarmanahTech/status/8006379251,,98,0
48,Big4.com,big4,2010-02-05 12:29:00,0,0,Big4AlumniNews: Bob Wiens - Arthur Andersen. Carmanah Technologies Corporation has appointed Bob Wiens to the Board... http://ow.ly/16vvxV,,,,8685895042,https://twitter.com/big4/status/8685895042,,138,0
49,LEDLightings,LEDlightings,2010-02-09 00:58:00,0,0,Carmanah Installs Solar Lighting at Marine Facilities in Polynesian IslandsTrading Markets (press release)EverGEN solar http://url4.eu/1LlGz,,,,8843602899,https://twitter.com/LEDlightings/status/8843602899,,140,0
