username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink,
Raj Patel,Rajio,5/15/2008 11:49,0,0,Lunch&Learn today by Carmanah Technologies (solar power dudes) ... I hope lunch includes sun-dried tomatoes for added synergy,,,,812034535,https://twitter.com/Rajio/status/812034535,
Jon-Paul Bussoli,jbussoli,10/10/2008 14:31,0,0,@ rogerkondrat I work for Carmanah Technologies. www.carmanah.com,,@,,954544141,https://twitter.com/jbussoli/status/954544141,
Denis Du Bois,cleantech,1/12/2009 14:50,0,0,Carmanah missed the bus with solar transit shelter lighting. Who picked up where they left off? Answer on Wednesday...,,,,1113850709,https://twitter.com/cleantech/status/1113850709,
Ryan Speed,unclespeedo,1/18/2009 14:47,0,0,Carmanah Technologies is looking for a Marketing Specialist - http://tinyurl.com/928b37,,,,1128724286,https://twitter.com/unclespeedo/status/1128724286,
AENews,AENews,2/12/2009 13:22,0,0,"Carmanah Partners With Shine Micro to Combine Solar-Powered Marine Lanterns With AIS Technology: VICTORIA, BC--(.. http://tinyurl.com/d7tf3h",,,,1203540007,https://twitter.com/AENews/status/1203540007,
AENews,AENews,2/12/2009 13:22,0,0,"Carmanah Partners With Shine Micro to Combine Solar-Powered Marine Lanterns With AIS Technology: VICTORIA, BC--(.. http://tinyurl.com/d7tf3h",,,,1203540007,https://twitter.com/AENews/status/1203540007,
Ryan Speed,unclespeedo,2/19/2009 14:03,0,0,Carmanah Technologies is hiring a Manager," Information Systems"" anyone wanna move to Victoria? - http://bit.ly/5OVqQ""",,,,1227706419,
Solar,australiansolar,3/4/2009 2:47,0,0,"Carmanah Introduces Compact Solar-Charging Kit for RVs and Boats: VICTORIA, BC - Carmanah Technologies (TSX: CMH.. http://tinyurl.com/aowfe3",,,,1277702945,https://twitter.com/australiansolar/status/1277702945,
Everything Finance,AllFinance,3/4/2009 20:37,0,0,Carmanah Introduces Solar LED Lighting for Streets and Parking Lots http://ff.im/-1lrrj,,,,1281355917,https://twitter.com/AllFinance/status/1281355917,
LEDinside,LEDinside,3/5/2009 3:04,0,0,[LEDinside] Carmanah’s Solar LED Lighting is Designed for Streets and Parking Lots: Topic: .. http://tinyurl.com/cclrh9,,,,1282514177,https://twitter.com/LEDinside/status/1282514177,
Green News,GreenNewsDaily,3/5/2009 9:12,0,0,GREEN PRODUCTS: Carmanah Introduces Solar LED Lighting for Streets and Parking Lots - http://www.msnbc.msn.com/id/29515666/,,,,1283394035,https://twitter.com/GreenNewsDaily/status/1283394035,
John Pettit,silverbelly,3/9/2009 20:50,0,0,looking for anyone with information about Carmanah Technologies in Victoria...thinking of applying for a job there. http://www.carmanah.com/,,,,1303225198,https://twitter.com/silverbelly/status/1303225198,
Environmentalist,cleaner_energy,3/11/2009 11:00,0,0,"Carmanah Announces Record Operating Performance Prior to Write ... MSNBC With solar technology more attractive... re: http://ff.im/1s63f""",,,,1310910498,https://twitter.com/cleaner_energy/status/1310910498,
matt,mattgoesgreen,3/13/2009 12:41,0,0,New blog post: Toronto Parking Authority to Install Solar Powered Grid-Tie System From Carmanah Technologies (T-Net British Columbia) ht ...,,,,1322572756,https://twitter.com/mattgoesgreen/status/1322572756,
solartweets,solartweets,3/17/2009 1:46,0,0,RT Toronto Parking Authority Goes Green with Carmanah Technologies Grid-Tie Solar Power System www.carmanah.com http://tinyurl.com/dd35jl,,,,1340774345,https://twitter.com/solartweets/status/1340774345,
David Davies,DavidJCDavies,3/17/2009 18:57,0,0,Carmanah Technologies posts $1.3-million 2008 profit http://tinyurl.com/cptv72,,,,1345174696,https://twitter.com/DavidJCDavies/status/1345174696,
MPLOYR,mployrbc,3/18/2009 2:48,0,0,[full-time] Solar Power Systems Engineer at Carmanah Technologies Corporation: Location: VictoriaURL: http://car.. http://tinyurl.com/dehtxh,,,,1347091743,https://twitter.com/mployrbc/status/1347091743,
David Davies,DavidJCDavies,4/22/2009 20:46,0,0,Globe and Mail Profile Carmanah Technologies http://bit.ly/mpeAw,,,,1589889552,https://twitter.com/DavidJCDavies/status/1589889552,
Earth Times Blogs,Earth_Times,5/6/2009 13:11,0,0,Trinidad International Airport Upgrades Runways with Carmanah Solar-LED Airfield Lights http://tinyurl.com/d98mvc,,,,1718435092,https://twitter.com/Earth_Times/status/1718435092,
AeroWeb-fr.net,aerowebfrnet,5/6/2009 14:31,0,0,Dépèches: Trinidad International Airport Upgrades Runways with Carmanah Solar-LED Airfield Lights: Tr.. http://tr.im/kFoP,,,,1719162730,https://twitter.com/aerowebfrnet/status/1719162730,
izatrini.com,izatrini,5/6/2009 14:42,0,1,Trinidad International Airport Upgrades Runways with Carmanah ... - Earthtimes (press release) http://tinyurl.com/cfznrw,,,,1719264355,https://twitter.com/izatrini/status/1719264355,
Sammy Lebaine,sammygreenman,5/15/2009 5:46,0,0,Carmanah Solar Technologies: Oil & Gas Applications · GridTie Solar Power Systems ... ERGL Solar Elevated Run.. http://www.carmanah.com/,,,,1804588388,https://twitter.com/sammygreenman/status/1804588388,
Earth Times Blogs,Earth_Times,5/22/2009 13:25,0,0,Rob Cruickshank appointed Carmanah Technologies&rsquo; Chairman of the Board http://tinyurl.com/r3qgxg,,,,1884614178,https://twitter.com/Earth_Times/status/1884614178,
What I Found Today,WhatIFoundToday,5/22/2009 15:07,0,1,Carmanah Technologies Names Rob Cruickshank New Chairman - TechFinance http://kl.am/lOi,,,,1885644508,https://twitter.com/WhatIFoundToday/status/1885644508,
Earth Times Blogs,Earth_Times,6/2/2009 12:05,0,0,US Coast Guard Stocks Up on Carmanah Solar-LED Marine Lanterns for Hurricane Season http://tinyurl.com/ml23az,,,,2005021185,https://twitter.com/Earth_Times/status/2005021185,
David Davies,DavidJCDavies,6/2/2009 15:37,0,0,US Coast Guard Stocks Up on Carmanah Solar-LED Marine Lanterns for Hurricane Season http://bit.ly/UlK0C,,,,2007428062,https://twitter.com/DavidJCDavies/status/2007428062,
Cantech Letter,CantechLetter,6/18/2009 13:46,0,0,Carmanah (TSX:CMH) wins $400k airport contract http://bit.ly/7cSjf $$,,,,2225477953,https://twitter.com/CantechLetter/status/2225477953,
Jonathan Lee,BoatingBusiness,6/23/2009 9:46,0,0,"Victoria, BC-based Carmanah Technologies is reported to have sold a large order of solar lanterns to the US Coast Guard.",,,,2294591732,https://twitter.com/BoatingBusiness/status/2294591732,
