username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
Flash Technology,flashtechnology,12/18/2017 10:45,2,10,I'm dreaming of white Christmas Just like the ones I used to know Where the Flash beacon glistens & Keeps airplanes flying safe in the snow I'm dreaming of a white Christmas With every climb I make on site If you join our VIP program You can trust the job will be done right pic.twitter.com/tSI1u6s5fY,,,,9.43E+17,https://twitter.com/flashtechnology/status/942782787404337153
Flash Technology,flashtechnology,12/13/2017 10:25,2,9,We don’t have a chimney and these aren’t exactly stockings. But they were hung with care!pic.twitter.com/0HYqqBqLly,,,,9.41E+17,https://twitter.com/flashtechnology/status/940965812482998272
Flash Technology,flashtechnology,5/15/2018 10:17,0,7,"Last Tuesday, Flash Field Services held our # OSHA # StandDown4Safety. Safety is more than training, rigging & site inspections. Ensure your trucks are in good condition & practice driver safety awareness. Crews can encounter any number of surprises on the road to/from job sites.pic.twitter.com/A5VeZXYCXF",,,# #,9.96E+17,https://twitter.com/flashtechnology/status/996394192527085568
Flash Technology,flashtechnology,11/20/2017 10:12,2,6,"Downtown Nashville at night from @ MusicCityAerial, with our own Vanguard® Medium system lighting the @ Westin Nashville!pic.twitter.com/Ns5egBCipX",,@ @,,9.33E+17,https://twitter.com/flashtechnology/status/932627613780082689
Flash Technology,flashtechnology,9/7/2017 10:27,1,6,"With the recent devastation from # Harvey and now # Irma, don't wait to make your family emergency plan. # natlprep # planaheadhttps://twitter.com/Readygov/status/903594529286230016 …",,,# # # #,9.06E+17,https://twitter.com/flashtechnology/status/905799800569847808
Flash Technology,flashtechnology,5/29/2018 13:01,0,6,"In the 3rd annual Flash # fooddrive, our staff donated a total of 980 pounds of food for GraceWorks Ministries! # giveback # payitforwardpic.twitter.com/Q0k44UJuT2",,,# # #,1.00E+18,https://twitter.com/flashtechnology/status/1001508902926798849
Flash Technology,flashtechnology,1/31/2018 13:57,0,6,"A sleepy coastal town in northeastern Brazil, São Bento do Norte is home to about 3,000 residents. The district also hosts a 94 MW wind complex with 47 Vestas turbines. The farm is lit with our ICAO-compliant FTS 370d Vanguard Medium obstruction lighting system.pic.twitter.com/tISlN3XHBZ",,,,9.59E+17,https://twitter.com/flashtechnology/status/958776239589793792
Flash Technology,flashtechnology,9/20/2017 10:23,2,5,A # towerclimber scales Willis Tower's antennas every 18 months to maintain Flash's FTB 204 and FTB 302 white xenon tower lights! # flashaboutpic.twitter.com/XeLlJzq84u,,,# #,9.11E+17,https://twitter.com/flashtechnology/status/910509640450035712
Flash Technology,flashtechnology,4/17/2018 12:01,1,5,Stop by to see Gary and Mark in booth 17! # stac2018https://twitter.com/STAC_CSPA/status/986271848936689664 …,,,#,9.86E+17,https://twitter.com/flashtechnology/status/986273575769260033
Flash Technology,flashtechnology,2/21/2018 19:16,1,5,"Connor enjoyed discussing obstructed beacons and nesting this afternoon at # nateunite2018. If you missed it and want to learn more, please let us know. @ NATEsafety # nateunite # faalighting # gaylordopryland # nashvillepic.twitter.com/OLekrSwF5n",,@,# # # # #,9.66E+17,https://twitter.com/flashtechnology/status/966466587355119616
