username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
Canon Malaysia,CanonCameraMsia,2018-04-17 06:30,0,0,"Witness history in the making with Speedlite 470EX-AI; the world’s first auto intelligence flash, power packed with revolutionary technology to find the optimal bounce angle for lighting your subject. Find out more: http://bit.ly/2vnBhii https://www.facebook.com/CanonMalaysia/videos/10156528598032708/ …",,,,"986190047614504961",https://twitter.com/CanonCameraMsia/status/986190047614504961
Magnima LLC,magnima_us,2018-03-04 20:00,1,2,"LED light ring for smoother lighting than your phone's flash. # blog # 3D # wordpress # server # computerscience # developer # software # computing # computer # smartphone # education # technical # presentation # technology # tech # vlog # microsoft # programmer # programmersday # coding # java pic.twitter.com/YvljhXovo6",,,# # # # # # # # # # # # # # # # # # # # #,"970463909433020422",https://twitter.com/magnima_us/status/970463909433020422
595strapco,595strapco,2018-02-26 04:30,0,1,"# photography Canon’s 470EX-AI is the World’s First Flash with AI Bounce - Canon has announced the new 470EX-AI, a flash with a new “revolutionary” technology called Auto Intelligent (AI) Bounce. It can figure out the optimal bounce angle for lighting ... http://ow.ly/YSO150gDtR4",,,#,"968055747769716736",https://twitter.com/595strapco/status/968055747769716736
Photoxels,photoxels,2018-02-26 04:22,0,0,"Canon Speedlite 470EX-AI Flash is the World’s First Flash with Auto Intelligent Bounce Technology to Get Ideal Lighting Conditions Indoors & Professional-Looking Flash Photography https://www.photoxels.com/pr-canon-470exai/ … via @ photoxels",,@,,"968053567155089408",https://twitter.com/photoxels/status/968053567155089408
✖BROOKLYNs11B 👻✖📹,BROOKLYNs11B,2018-02-09 08:40,0,1,"Not the case , the technology is called Faster Than Lighting aka FTL which is why the delay times are low. Which is part of the reason why they bought beam. User size has absolutely nothing to do with it @ Twitch is ran using flash which is older tech and a resource hog # Slow",,@,#,"961958066076856321",https://twitter.com/BROOKLYNs11B/status/961958066076856321
Michael Smith,LIGHTINGAGENT,2017-05-20 14:13,0,1,"Global LED Obstruct Lighting Market-Flash Technology (SPX), Obelux, Dialight, TRANBERG - Publicist Report - Market Research News by Market.…",,,,"865993821888405504",https://twitter.com/LIGHTINGAGENT/status/865993821888405504
Cheers for Cameras,camera_cheers,2017-03-29 15:08,0,0,"Join 4 people right now at "Lighting 103: When Not to Gel Your Flash" # cheers # cameras # photography # technology… http://bit.ly/2n4BjSs pic.twitter.com/BJHrycCjQW",,,# # # #,"847163610484752384",https://twitter.com/camera_cheers/status/847163610484752384
Patricia W. Adam,patriciawadam,2017-03-26 15:20,0,1,"Tower Lighting !!!! Vanguard Led Series By Flash Technology FTS 370d https://goo.gl/fb/UEKBlT",,,,"846079320384716800",https://twitter.com/patriciawadam/status/846079320384716800
Mercury Case PH,MercuryCasePH,2016-10-19 22:14,0,0,"SG Design develops illuminating case by utilizing LED Flash Alert Energy Saving Technology Features Lighting... http://fb.me/VjKTlh40",,,,"788926331933356032",https://twitter.com/MercuryCasePH/status/788926331933356032
Tech Journal,TechJournal1,2016-06-27 16:39,0,1,"SG LED Lighting Case iPhone 6 Case Flash Lighting Clear ... - # tech # technology # technews http://techjournal.xyz/sg-led-lighting-case-iphone-6-case-flash-lighting-clear-case-6-types-korea-made-lights-up-for-alertscalls/ …pic.twitter.com/jmY5oVasrg",,,# # #,"747529880506605568",https://twitter.com/TechJournal1/status/747529880506605568
James Techerit,Techerit,2016-05-15 12:40,0,2,"Rose Gold iKlips, iPhone flash drive! Apple Lighting USB # gadget # technology pic.twitter.com/X4fun6xVPk",,,# #,"731887077701365761",https://twitter.com/Techerit/status/731887077701365761
Lechoslaw George,LechoslawTech,2016-05-06 13:12,3,1,"iKlips 256GB Lightning USB 3.0 Dual-Interface Flash Drive # Fast, # FlashDrive, # Lighting, # Technology # innovation # g…pic.twitter.com/VCTei2C5YO",,,# # # # # #,"728633444071317505",https://twitter.com/LechoslawTech/status/728633444071317505
Crowdfunder's news,crowdfundernews,2016-02-27 05:20,8,5,"Help make it happen for ActingLight - Lighting the future on @ indiegogo http://igg.me/p/1628704/twtr # crowdfunding # technology # flash",,@,# # #,"703525123668709376",https://twitter.com/crowdfundernews/status/703525123668709376
Emily Dresch,DreschEmily,2015-10-02 12:25,3,3,"# MFGDay15 learning about tower lighting at Flash Technology @ williamson_incpic.twitter.com/lGztSMDzGa",,@,#,"649983660754632705",https://twitter.com/DreschEmily/status/649983660754632705
BabyDre,drelynhunt,2015-06-09 01:27,0,1,"We went from lighting bic lighters to Turing the flash on our iPhones at concerts.. Technology is everything.",,,,"608143411611197440",https://twitter.com/drelynhunt/status/608143411611197440
Intermatic,intermatic,2015-05-05 15:07,2,5,"An arc flash can kill roadway LED lighting – stop by booth #4414 to learn more about Zero-Cross Technology # LFI2015 http://youtu.be/gsTRIv57Jrw",,,#4414 #,"595666039981088769",https://twitter.com/intermatic/status/595666039981088769
Crowdfunding Center,CrowdfundCentre,2015-02-18 04:33,1,1,"Istor - Usb Flash Drive With Lighting... - TECHNOLOGY # crowdfunding project needs your support http://thecrowdfundingcentre.com/project/A4FB6X pic.twitter.com/jz8FtDDp9e",,,#,"567980104053178368",https://twitter.com/CrowdfundCentre/status/567980104053178368
LED professional,LEDprofessional,2015-02-06 04:35,1,0,"Edison Opto Introduces the Industry’s Brightest Flash LEDs — LED professional - LED Lighting Technology, Application- http://go.shr.lc/1LTqawa",,,,"563632043813507074",https://twitter.com/LEDprofessional/status/563632043813507074
kgcentral,kgcentral,2015-01-02 10:21,0,1,"@ Nashville_RN @ MaxCRoser That's certainly an original take. I'm impressed by how much lighting technology has evolved since the flash bulb.",,@ @,,"551035555291865089",https://twitter.com/kgcentral/status/551035555291865089
Flash Technology,flashtechnology,2018-07-17 15:05,0,0,"The FTB 205 high intensity xenon tower lighting system now ships with a new coupling transformer assembly. Integrating couplers increases the reliability of the lighting system by improving tube and trigger performance. Instruction sheet and manual at http://ow.ly/blXD30kZQjZ pic.twitter.com/mmrl4tUqeB",,,,"1019296983201091584",https://twitter.com/flashtechnology/status/1019296983201091584
corkyd,corkyd,2018-07-16 07:08,0,0,"FLASH TECHNOLOGY TOWER SAFETY OBSTRUCTION LIGHTING Radio Cell Light Assembly Hurry # towersafety # safetylighting # safetytechnologyhttps://ebay.to/2zF8BmL",,,# # #,"1018814588215799808",https://twitter.com/corkyd/status/1018814588215799808
